SendDate,SendTime,Solar Power (kW),Solar energy Generation (kWh),consumptionValue (kW)
07-01-2024,05:00:00,144,0,0.35
07-01-2024,05:05:00,144,0,0.36
07-01-2024,05:10:00,144,0,0.36
07-01-2024,05:16:00,144,0,0.35
07-01-2024,05:21:00,144,0,0.39
07-01-2024,05:27:00,144,0,0.35
07-01-2024,05:32:00,144,0,0.35
07-01-2024,05:38:00,144,0,0.36
07-01-2024,05:43:00,144,0,0.36
07-01-2024,05:48:00,144,0,0.37
07-01-2024,05:54:00,144,0,0.37
07-01-2024,05:56:00,144,0,0.37
07-01-2024,05:58:00,144,0,
07-01-2024,05:59:00,147,0,0.39
07-01-2024,06:01:00,143,0,0.4
07-01-2024,06:04:00,148,0,0.39
07-01-2024,06:05:00,149,0,0.4
07-01-2024,06:06:00,145,0,
07-01-2024,06:12:00,150,0,0.38
07-01-2024,06:15:00,223,0,0.41
07-01-2024,06:18:00,154,0,0.4
07-01-2024,06:19:00,151,0,
07-01-2024,06:20:00,150,0,0.4
07-01-2024,06:22:00,150,0,
07-01-2024,06:25:00,149,0,
07-01-2024,06:27:00,152,0,
07-01-2024,06:28:00,152,0,0.4
07-01-2024,06:29:00,152,0,0.4
07-01-2024,06:31:00,150,0,
07-01-2024,06:32:00,153,0,0.4
07-01-2024,06:33:00,152,0,0.41
07-01-2024,06:37:00,153,0,
07-01-2024,06:38:00,155,0,0.4
07-01-2024,06:39:00,154,0,0.39
07-01-2024,06:42:00,155,0,0.38
07-01-2024,06:44:00,156,0.1,0.4
07-01-2024,06:46:00,156,0,
07-01-2024,06:48:00,155,0,
07-01-2024,06:50:00,153,0.1,0.4
07-01-2024,06:51:00,152,0.1,0.4
07-01-2024,06:54:00,153,0.1,0.38
07-01-2024,06:55:00,154,0.1,0.4
07-01-2024,06:56:00,155,0.1,0.37
07-01-2024,07:00:00,155,0.1,0.38
07-01-2024,07:01:00,155,0.1,0.38
07-01-2024,07:02:00,153,0,
07-01-2024,07:03:00,154,0.1,0.4
07-01-2024,07:05:00,153,0,
07-01-2024,07:09:00,153,0,
07-01-2024,07:10:00,155,0.1,0.38
07-01-2024,07:11:00,155,0.1,0.39
07-01-2024,07:14:00,154,0,
07-01-2024,07:15:00,153,0.1,0.38
07-01-2024,07:17:00,156,0.1,0.38
07-01-2024,07:18:00,155,0.1,0.38
07-01-2024,07:19:00,155,0.1,0.38
07-01-2024,07:23:00,155,0.1,0.38
07-01-2024,07:25:00,156,0.1,0.38
07-01-2024,07:26:00,156,0.1,0.39
07-01-2024,07:27:00,156,0.1,0.39
07-01-2024,07:28:00,153,0.1,0.38
07-01-2024,07:32:00,153,0.1,0.44
07-01-2024,07:33:00,153,0.2,0.38
07-01-2024,07:35:00,153,0,
07-01-2024,07:36:00,153,0.2,0.38
07-01-2024,07:38:00,154,0.2,0.37
07-01-2024,07:39:00,153,0,
07-01-2024,07:41:00,155,0.2,0.38
07-01-2024,07:43:00,153,0.2,0.39
07-01-2024,07:45:00,156,0,
07-01-2024,07:46:00,153,0.2,0.38
07-01-2024,07:49:00,154,0.2,0.38
07-01-2024,07:51:00,152,0.2,0.38
07-01-2024,07:52:00,153,0.2,0.38
07-01-2024,07:55:00,151,0.2,0.4
07-01-2024,07:56:00,154,0.2,0.4
07-01-2024,07:57:00,152,0.2,0.4
07-01-2024,07:59:00,152,0.2,0.39
07-01-2024,08:00:00,151,0.2,0.41
07-01-2024,08:03:00,153,0,
07-01-2024,08:05:00,154,0,
07-01-2024,08:07:00,155,0,
07-01-2024,08:11:00,157,0,
07-01-2024,08:12:00,156,0.2,0.41
07-01-2024,08:13:00,155,0.2,0.42
07-01-2024,08:16:00,154,0.2,0.39
07-01-2024,08:17:00,154,0.2,0.41
07-01-2024,08:18:00,155,0.2,0.4
07-01-2024,08:20:00,156,0.2,0.4
07-01-2024,08:22:00,175,0,
07-01-2024,08:23:00,157,0.3,0.4
07-01-2024,08:24:00,157,0,
07-01-2024,08:26:00,153,0,
07-01-2024,08:28:00,154,0,
07-01-2024,08:29:00,156,0.3,0.4
07-01-2024,08:30:00,153,0.3,0.41
07-01-2024,08:34:00,154,0.3,0.4
07-01-2024,08:35:00,153,0,
07-01-2024,08:37:00,153,0,
07-01-2024,08:39:00,152,0,
07-01-2024,08:40:00,153,0.3,0.41
07-01-2024,08:42:00,154,0,
07-01-2024,08:43:00,154,0.3,0.41
07-01-2024,08:44:00,152,0.3,0.41
07-01-2024,08:46:00,154,0.3,0.4
07-01-2024,08:47:00,154,0.3,0.41
07-01-2024,08:51:00,153,0,
07-01-2024,08:52:00,153,0.3,0.41
07-01-2024,08:53:00,151,0.3,0.4
07-01-2024,08:56:00,152,0,
07-01-2024,08:58:00,152,0.3,0.42
07-01-2024,09:00:00,154,0,
07-01-2024,09:02:00,152,0,
07-01-2024,09:03:00,156,0,
07-01-2024,09:05:00,156,0.3,0.41
07-01-2024,09:06:00,157,0.3,0.42
07-01-2024,09:07:00,154,0.3,0.41
07-01-2024,09:10:00,157,0.4,0.41
07-01-2024,09:11:00,157,0.4,0.41
07-01-2024,09:12:00,156,0.4,0.42
07-01-2024,09:16:00,157,0.4,0.42
07-01-2024,09:17:00,155,0.4,0.46
07-01-2024,09:18:00,822,0.4,0.42
07-01-2024,09:18:00,806,0.4,0.45
07-01-2024,09:25:00,959,0.5,0.44
07-01-2024,09:30:00,1045,0.5,0.44
07-01-2024,09:35:00,936,0.6,0.45
07-01-2024,09:40:00,995,0.7,0.48
07-01-2024,09:45:00,786,0.8,0.49
07-01-2024,09:51:00,836,0.8,0.49
07-01-2024,09:56:00,1058,0.9,0.48
07-01-2024,10:01:00,1172,1,0.46
07-01-2024,10:06:00,896,1.1,0.5
07-01-2024,10:11:00,827,1.2,0.51
07-01-2024,10:17:00,1081,1.2,0.51
07-01-2024,10:23:00,1467,1.4,0.51
07-01-2024,10:28:00,1537,1.5,0.5
07-01-2024,10:33:00,869,1.6,0.52
07-01-2024,10:38:00,1442,1.6,0.5
07-01-2024,10:43:00,1417,1.8,0.48
07-01-2024,10:49:00,1176,1.9,0.46
07-01-2024,10:54:00,855,1.9,0.46
07-01-2024,10:59:00,1365,2,0.46
07-01-2024,11:04:00,900,2.1,0.47
07-01-2024,11:09:00,1326,2.2,0.46
07-01-2024,11:14:00,1138,2.3,0.43
07-01-2024,11:19:00,973,2.4,0.43
07-01-2024,11:26:00,1563,2.5,0.48
07-01-2024,11:31:00,1163,2.6,0.51
07-01-2024,11:36:00,1562,2.7,0.46
07-01-2024,11:41:00,1528,2.8,0.43
07-01-2024,11:46:00,1443,2.9,0.55
07-01-2024,11:52:00,881,3,0.44
07-01-2024,11:57:00,1147,3.1,0.46
07-01-2024,12:02:00,1012,3.2,0.48
07-01-2024,12:07:00,1609,3.3,0.47
07-01-2024,12:12:00,852,3.4,0.46
07-01-2024,12:16:00,649,3.5,0.46
07-01-2024,12:18:00,644,3.5,0.48
07-01-2024,12:18:00,656,3.5,0.43
07-01-2024,12:24:00,667,3.5,0.45
07-01-2024,12:29:00,805,3.6,0.48
07-01-2024,12:34:00,769,3.7,0.48
07-01-2024,12:39:00,941,3.8,0.5
07-01-2024,12:44:00,1038,3.8,0.5
07-01-2024,12:50:00,927,3.9,0.41
07-01-2024,12:55:00,742,4,0.42
07-01-2024,13:00:00,1022,4.1,0.46
07-01-2024,13:05:00,576,4.1,0.45
07-01-2024,13:10:00,702,4.2,0.45
07-01-2024,13:16:00,1219,4.3,0.45
07-01-2024,13:22:00,1212,4.4,0.43
07-01-2024,13:27:00,1012,4.4,0.45
07-01-2024,13:32:00,1079,4.5,0.39
07-01-2024,13:37:00,1072,4.6,0.37
07-01-2024,13:42:00,1053,4.7,0.39
07-01-2024,13:47:00,1040,4.8,0.38
07-01-2024,13:52:00,1069,4.9,0.39
07-01-2024,13:57:00,1003,4.9,0.37
07-01-2024,14:02:00,1031,5,0.38
07-01-2024,14:08:00,999,5.1,0.36
07-01-2024,14:13:00,976,5.2,0.37
07-01-2024,14:18:00,944,5.3,0.35
07-01-2024,14:24:00,1204,5.3,0.41
07-01-2024,14:29:00,937,5.4,0.41
07-01-2024,14:34:00,934,5.5,0.41
07-01-2024,14:40:00,888,5.6,0.41
07-01-2024,14:45:00,911,5.6,0.42
07-01-2024,14:48:00,1187,5.7,0.44
07-01-2024,14:49:00,1190,5.7,0.43
07-01-2024,14:50:00,1149,5.7,0.44
07-01-2024,14:55:00,1312,5.8,0.39
07-01-2024,15:00:00,885,5.9,0.38
07-01-2024,15:05:00,1270,6,0.38
07-01-2024,15:08:00,718,6,0.38
07-01-2024,15:10:00,663,6,0.41
07-01-2024,15:12:00,596,6.1,0.4
07-01-2024,15:15:00,761,6.1,0.4
07-01-2024,15:22:00,706,6.2,0.4
07-01-2024,15:27:00,901,6.2,0.42
07-01-2024,15:32:00,1170,6.3,0.39
07-01-2024,15:37:00,1142,6.4,0.39
07-01-2024,15:42:00,1034,6.5,0.39
07-01-2024,15:47:00,1108,6.6,0.38
07-01-2024,15:53:00,1105,6.7,0.38
07-01-2024,15:58:00,1000,6.7,0.37
07-01-2024,16:03:00,897,6.8,0.38
07-01-2024,16:08:00,633,6.9,0.38
07-01-2024,16:13:00,839,6.9,0.36
07-01-2024,16:18:00,735,7,0.44
07-01-2024,16:24:00,856,7.1,0.49
07-01-2024,16:29:00,838,7.1,0.44
07-01-2024,16:35:00,723,7.2,0.46
07-01-2024,16:40:00,602,7.3,0.4
07-01-2024,16:45:00,635,7.3,0.44
07-01-2024,16:50:00,723,7.4,0.44
07-01-2024,16:55:00,664,7.4,0.41
07-01-2024,17:00:00,593,7.5,0.4
07-01-2024,17:05:00,542,7.5,0.43
07-01-2024,17:12:00,354,7.5,0.48
07-01-2024,17:17:00,354,7.5,
07-01-2024,17:19:00,304,7.5,
07-01-2024,17:23:00,318,7.5,
07-01-2024,17:26:00,344,7.6,0.47
07-01-2024,17:29:00,309,0,
07-01-2024,17:31:00,282,7.6,0.49
07-01-2024,17:33:00,261,7.6,0.49
07-01-2024,17:36:00,224,7.7,0.47
07-01-2024,17:37:00,208,7.7,0.42
07-01-2024,17:40:00,142,0,
07-01-2024,17:40:00,182,7.7,0.44
07-01-2024,17:42:00,122,7.7,0.44
07-01-2024,17:42:00,132,7.7,0.44
07-01-2024,17:44:00,178,7.7,0.41
07-01-2024,17:45:00,139,7.7,0.43
07-01-2024,17:48:00,184,7.7,0.48
07-01-2024,17:51:00,192,0,
07-01-2024,17:54:00,142,7.7,0.54
07-01-2024,17:57:00,191,7.7,0.54
07-01-2024,17:59:00,194.5,7.7,
07-01-2024,18:03:00,198,7.7,0.53
07-01-2024,18:06:00,197,7.7,0.53
07-01-2024,18:08:00,140,7.7,0.51
07-01-2024,18:11:00,163,7.7,
07-01-2024,18:13:00,186,7.8,0.47
07-01-2024,18:14:00,186,7.8,0.53
07-01-2024,18:15:00,183,7.8,0.53
07-01-2024,18:17:00,125,7.8,0.53
07-01-2024,18:19:00,136,7.8,0.53
07-01-2024,18:21:00,121,7.8,0.53
07-01-2024,18:22:00,161,7.8,0.49
07-01-2024,18:24:00,192,7.8,0.49
07-01-2024,18:26:00,198,7.8,0.48
07-01-2024,18:28:00,139,7.8,0.53
07-01-2024,18:31:00,194,7.8,0.54
07-01-2024,18:32:00,187,7.8,0.53
07-01-2024,18:34:00,182,7.8,
07-01-2024,18:36:00,185,7.8,0.53
07-01-2024,18:39:00,176.5,7.8,
07-01-2024,18:41:00,168,0,
07-01-2024,18:43:00,160,7.8,0.54
07-01-2024,18:44:00,160,7.8,0.54
07-01-2024,18:49:00,160,7.8,0.53
07-01-2024,18:54:00,160,7.8,0.5
07-01-2024,19:00:00,160,7.8,0.54
07-01-2024,19:05:00,160,7.8,0.51
07-01-2024,19:10:00,160,7.8,0.5
07-01-2024,19:16:00,160,7.8,0.49
07-01-2024,19:22:00,160,7.8,0.46
07-01-2024,19:27:00,160,7.8,0.45
07-01-2024,19:33:00,160,7.8,0.46
07-01-2024,19:38:00,160,7.8,0.46
07-01-2024,19:43:00,160,7.8,0.44
07-01-2024,19:49:00,160,7.8,0.45
07-01-2024,19:54:00,160,7.8,0.44
07-01-2024,19:59:00,160,7.8,0.46
07-01-2024,20:04:00,160,7.8,0.47
07-01-2024,20:09:00,160,7.8,0.45
07-01-2024,20:15:00,160,7.8,0.46
07-01-2024,20:21:00,160,7.8,0.47
07-01-2024,20:26:00,160,7.8,0.46
07-01-2024,20:31:00,160,7.8,0.47
07-01-2024,20:36:00,160,7.8,0.45
07-01-2024,20:42:00,160,7.8,0.45
07-01-2024,20:47:00,160,7.8,0.45
07-01-2024,20:52:00,160,7.8,0.47
07-01-2024,20:58:00,160,7.8,0.44
07-01-2024,21:03:00,160,7.8,0.46
07-01-2024,21:08:00,160,7.8,0.44
07-01-2024,21:13:00,160,7.8,0.4
07-01-2024,21:18:00,160,7.8,0.39
07-01-2024,21:25:00,160,7.8,0.41
07-01-2024,21:30:00,160,7.8,0.39
07-01-2024,21:35:00,160,0,0.38
07-01-2024,21:40:00,160,0,0.39
07-01-2024,21:46:00,160,0,0.4
07-01-2024,21:51:00,160,0,0.38
07-01-2024,21:56:00,160,0,0.38
07-01-2024,22:01:00,160,0,0.39
07-01-2024,22:06:00,160,0,0.39
07-01-2024,22:11:00,160,0,0.37
07-01-2024,22:17:00,160,0,0.36
07-01-2024,22:23:00,160,0,0.36
07-01-2024,22:28:00,160,0,0.36
07-01-2024,22:34:00,160,0,0.35
07-01-2024,22:39:00,160,0,0.37
07-01-2024,22:44:00,160,0,0.37
07-01-2024,22:49:00,160,0,0.35
07-01-2024,22:54:00,160,0,0.34
07-01-2024,22:59:00,160,0,0.36
07-01-2024,23:05:00,160,0,0.34
07-01-2024,23:10:00,160,0,0.36
07-01-2024,23:15:00,160,0,0.34
07-01-2024,23:21:00,160,0,0.36
07-01-2024,23:26:00,160,0,0.35
07-01-2024,23:32:00,160,0,0.37
07-01-2024,23:37:00,160,0,0.39
07-01-2024,23:42:00,160,0,0.4
07-01-2024,23:47:00,160,0,0.41
07-01-2024,23:53:00,160,0,0.41
07-01-2024,23:58:00,160,0,0.42
07-02-2024,00:03:00,160,0,0.42
07-02-2024,00:08:00,160,0,0.42
07-02-2024,00:13:00,160,0,0.4
07-02-2024,00:19:00,160,0,0.43
07-02-2024,00:25:00,160,0,0.42
07-02-2024,00:30:00,160,0,0.39
07-02-2024,00:35:00,160,0,0.41
07-02-2024,00:41:00,160,0,0.41
07-02-2024,00:46:00,160,0,0.42
07-02-2024,00:51:00,160,0,0.41
07-02-2024,00:56:00,160,0,0.44
07-02-2024,01:01:00,160,0,0.42
07-02-2024,01:07:00,160,0,0.43
07-02-2024,01:12:00,160,0,0.42
07-02-2024,01:17:00,160,0,0.43
07-02-2024,01:23:00,160,0,0.43
07-02-2024,01:29:00,160,0,0.42
07-02-2024,01:34:00,160,0,0.42
07-02-2024,01:39:00,160,0,0.43
07-02-2024,01:44:00,160,0,0.42
07-02-2024,01:50:00,160,0,0.43
07-02-2024,01:55:00,160,0,0.43
07-02-2024,02:00:00,160,0,0.43
07-02-2024,02:06:00,160,0,0.43
07-02-2024,02:11:00,160,0,0.43
07-02-2024,02:16:00,160,0,0.43
07-02-2024,02:22:00,160,0,0.44
07-02-2024,02:27:00,160,0,0.43
07-02-2024,02:32:00,160,0,0.45
07-02-2024,02:38:00,160,0,0.44
07-02-2024,02:43:00,160,0,0.44
07-02-2024,02:48:00,160,0,0.44
07-02-2024,02:53:00,160,0,0.43
07-02-2024,02:58:00,160,0,0.43
07-02-2024,03:03:00,160,0,0.45
07-02-2024,03:08:00,160,0,0.43
07-02-2024,03:14:00,160,0,0.44
07-02-2024,03:19:00,160,0,0.43
07-02-2024,03:26:00,160,0,0.44
07-02-2024,03:31:00,160,0,0.44
07-02-2024,03:36:00,160,0,0.43
07-02-2024,03:41:00,160,0,0.44
07-02-2024,03:46:00,160,0,0.43
07-02-2024,03:52:00,160,0,0.43
07-02-2024,03:57:00,160,0,0.42
07-02-2024,04:02:00,160,0,0.42
07-02-2024,04:07:00,160,0,0.42
07-02-2024,04:12:00,160,0,0.42
07-02-2024,04:18:00,160,0,0.41
07-02-2024,04:24:00,160,0,0.42
07-02-2024,04:29:00,160,0,0.42
07-02-2024,04:34:00,160,0,0.42
07-02-2024,04:39:00,160,0,0.42
07-02-2024,04:44:00,160,0,0.41
07-02-2024,04:50:00,160,0,0.42
07-02-2024,04:55:00,160,0,0.41
07-02-2024,05:00:00,160,0,0.41
07-02-2024,05:06:00,160,0,0.41
07-02-2024,05:11:00,160,0,0.41
07-02-2024,05:17:00,160,0,0.42
07-02-2024,05:22:00,160,0,0.43
07-02-2024,05:28:00,160,0,0.42
07-02-2024,05:33:00,160,0,0.42
07-02-2024,05:38:00,160,0,0.43
07-02-2024,05:43:00,160,0,0.43
07-02-2024,05:49:00,160,0,0.43
07-02-2024,05:54:00,160,0,0.43
07-02-2024,05:59:00,160,0,0.44
07-02-2024,06:04:00,160,0,0.43
07-02-2024,06:09:00,160,0,0.43
07-02-2024,06:15:00,160,0,
07-02-2024,06:20:00,160,0,0.43
07-02-2024,06:26:00,160,0,0.41
07-02-2024,06:31:00,160,0,0.41
07-02-2024,06:37:00,160,0,0.4
07-02-2024,06:41:00,160,0,0.39
07-02-2024,06:47:00,160,0,0.39
07-02-2024,06:52:00,160,0,0.38
07-02-2024,06:57:00,160,0,0.37
07-02-2024,07:02:00,160,0,0.4
07-02-2024,07:08:00,160,0,0.38
07-02-2024,07:13:00,160,0,0.39
07-02-2024,07:18:00,160,0,0.39
07-02-2024,07:24:00,160,0,0.37
07-02-2024,07:30:00,160,0,0.37
07-02-2024,07:35:00,160,0,0.37
07-02-2024,07:40:00,160,0,0.37
07-02-2024,07:45:00,160,0,0.37
07-02-2024,07:51:00,160,0,0.37
07-02-2024,07:56:00,160,0,0.38
07-02-2024,08:01:00,160,0,0.39
07-02-2024,08:06:00,160,0,0.37
07-02-2024,08:12:00,160,0,0.36
07-02-2024,08:17:00,160,0,0.38
07-02-2024,08:23:00,160,0,0.42
07-02-2024,08:28:00,160,0,0.4
07-02-2024,08:33:00,160,0,0.4
07-02-2024,08:39:00,160,0,0.41
07-02-2024,08:44:00,160,0,0.41
07-02-2024,08:45:00,141,0,0.41
07-02-2024,08:48:00,144,0,0.4
07-02-2024,08:50:00,142,0,0.42
07-02-2024,08:52:00,141,0,
07-02-2024,08:54:00,140,0,
07-02-2024,08:56:00,144,0,0.41
07-02-2024,08:58:00,141,0,
07-02-2024,09:00:00,141,0,0.41
07-02-2024,09:01:00,140,0,
07-02-2024,09:03:00,141,0.1,0.4
07-02-2024,09:04:00,140,0.1,0.41
07-02-2024,09:05:00,141,0.1,0.4
07-02-2024,09:08:00,140,0.1,0.4
07-02-2024,09:09:00,141,0.1,0.4
07-02-2024,09:10:00,140,0.1,0.41
07-02-2024,09:14:00,140,0.1,0.43
07-02-2024,09:15:00,143,0.1,0.45
07-02-2024,09:17:00,142,0.1,0.46
07-02-2024,09:18:00,140,0,
07-02-2024,09:20:00,142,0.1,0.45
07-02-2024,09:22:00,140,0,
07-02-2024,09:24:00,138,0.1,0.41
07-02-2024,09:25:00,141,0.1,0.41
07-02-2024,09:26:00,142,0.1,0.41
07-02-2024,09:28:00,141,0,
07-02-2024,09:29:00,141,0.1,0.44
07-02-2024,09:31:00,142,0.1,0.42
07-02-2024,09:32:00,143,0,
07-02-2024,09:34:00,142,0.1,0.41
07-02-2024,09:35:00,143,0.1,0.43
07-02-2024,09:37:00,143,0.1,0.42
07-02-2024,09:38:00,146,0.1,0.42
07-02-2024,09:41:00,143,0.1,0.47
07-02-2024,09:42:00,143,0.1,0.49
07-02-2024,09:43:00,143,0.1,0.49
07-02-2024,09:47:00,145,0.1,0.49
07-02-2024,09:48:00,143,0.1,0.54
07-02-2024,09:50:00,144,0,
07-02-2024,09:52:00,146,0.1,0.46
07-02-2024,09:54:00,142,0.1,0.46
07-02-2024,09:55:00,145,0,
07-02-2024,09:57:00,142,0.2,0.48
07-02-2024,09:58:00,145,0.2,0.47
07-02-2024,09:59:00,145,0.2,0.4
07-02-2024,10:01:00,150,0,
07-02-2024,10:02:00,147,0.2,0.4
07-02-2024,10:03:00,143,0.2,0.41
07-02-2024,10:06:00,144,0.2,0.53
07-02-2024,10:07:00,143,0.2,0.45
07-02-2024,10:08:00,144,0.2,0.45
07-02-2024,10:12:00,146,0,
07-02-2024,10:14:00,145,0.2,0.48
07-02-2024,10:15:00,145,0.2,0.46
07-02-2024,10:17:00,146,0.2,0.47
07-02-2024,10:19:00,147,0,
07-02-2024,10:22:00,149,0,
07-02-2024,10:23:00,148,0.2,0.56
07-02-2024,10:25:00,147,0,
07-02-2024,10:27:00,146,0.2,0.55
07-02-2024,10:28:00,145,0.2,0.45
07-02-2024,10:31:00,146,0.2,0.47
07-02-2024,10:32:00,147,0.2,0.48
07-02-2024,10:33:00,149,0.2,0.47
07-02-2024,10:37:00,149,0,
07-02-2024,10:38:00,150,0.2,0.53
07-02-2024,10:40:00,152,0,
07-02-2024,10:42:00,151,0.2,0.52
07-02-2024,10:44:00,152,0.2,0.51
07-02-2024,10:45:00,153,0,
07-02-2024,10:47:00,152,0.3,0.49
07-02-2024,10:48:00,154,0,
07-02-2024,10:51:00,155,0.3,0.5
07-02-2024,10:52:00,152,0,
07-02-2024,10:54:00,155,0,
07-02-2024,10:55:00,155,0.3,0.49
07-02-2024,10:56:00,153,0.3,0.48
07-02-2024,10:58:00,155,0.3,0.49
07-02-2024,10:59:00,155,0,
07-02-2024,11:02:00,155,0.3,0.51
07-02-2024,11:04:00,155,0.3,0.51
07-02-2024,11:05:00,153,0.3,0.5
07-02-2024,11:06:00,152,0,
07-02-2024,11:08:00,156,0.3,0.49
07-02-2024,11:09:00,154,0.3,0.5
07-02-2024,11:11:00,210,0.3,0.5
07-02-2024,11:12:00,155,0.3,0.51
07-02-2024,11:13:00,155,0,
07-02-2024,11:17:00,157,0.3,0.49
07-02-2024,11:18:00,156,0.3,0.51
07-02-2024,11:20:00,156,0.3,0.5
07-02-2024,11:23:00,156,0.3,0.51
07-02-2024,11:24:00,156,0.3,0.5
07-02-2024,11:25:00,153,0.3,0.5
07-02-2024,11:29:00,157,0.3,0.49
07-02-2024,11:30:00,157,0.3,0.49
07-02-2024,11:31:00,157,0.3,0.5
07-02-2024,11:33:00,158,0,
07-02-2024,11:35:00,156,0,
07-02-2024,11:38:00,159,0.4,0.5
07-02-2024,11:39:00,160,0.4,0.51
07-02-2024,11:41:00,158,0.4,0.52
07-02-2024,11:42:00,160,0.4,0.52
07-02-2024,11:44:00,157,0,
07-02-2024,11:46:00,158,0.4,0.48
07-02-2024,11:48:00,158,0.4,0.46
07-02-2024,11:49:00,158,0.4,0.45
07-02-2024,11:51:00,155,0.4,0.43
07-02-2024,11:53:00,158,0.4,0.43
07-02-2024,11:54:00,157,0.4,0.43
07-02-2024,11:56:00,158,0.4,0.45
07-02-2024,11:57:00,158,0.4,0.44
07-02-2024,12:00:00,159,0.4,0.48
07-02-2024,12:02:00,160,0.4,0.48
07-02-2024,12:03:00,157,0.4,0.48
07-02-2024,12:05:00,159,0,
07-02-2024,12:06:00,158,0,
07-02-2024,12:08:00,158,0,
07-02-2024,12:09:00,158,0.4,0.45
07-02-2024,12:13:00,159,0.4,0.47
07-02-2024,12:15:00,160,0,
07-02-2024,12:16:00,159,0,
07-02-2024,12:18:00,159,0.4,0.46
07-02-2024,12:19:00,162,0.4,0.46
07-02-2024,12:21:00,159,0.4,0.47
07-02-2024,12:22:00,159,0.5,0.46
07-02-2024,12:23:00,160,0.5,0.48
07-02-2024,12:27:00,157,0.5,0.51
07-02-2024,12:29:00,161,0,
07-02-2024,12:30:00,159,0.5,0.5
07-02-2024,12:32:00,160,0.5,0.5
07-02-2024,12:33:00,159,0.5,0.51
07-02-2024,12:36:00,158,0,
07-02-2024,12:38:00,158,0.5,0.51
07-02-2024,12:39:00,158,0.5,0.5
07-02-2024,12:42:00,157,0,
07-02-2024,12:44:00,158,0.5,0.51
07-02-2024,12:45:00,157,0,
07-02-2024,12:47:00,158,0.5,0.5
07-02-2024,12:48:00,156,0.5,0.5
07-02-2024,12:50:00,155,0.5,0.51
07-02-2024,12:53:00,158,0.5,0.51
07-02-2024,12:55:00,158,0,
07-02-2024,12:56:00,158,0.5,0.5
07-02-2024,12:58:00,155,0.5,0.51
07-02-2024,12:59:00,158,0.5,0.52
07-02-2024,13:00:00,158,0.5,0.51
07-02-2024,13:01:00,160,0.5,0.51
07-02-2024,13:05:00,159,0.5,0.5
07-02-2024,13:06:00,158,0.5,0.51
07-02-2024,13:08:00,158,0.5,0.51
07-02-2024,13:09:00,158,0.6,0.51
07-02-2024,13:10:00,158,0.6,0.51
07-02-2024,13:12:00,159,0.6,0.49
07-02-2024,13:13:00,158,0.6,0.49
07-02-2024,13:14:00,161,0.6,0.51
07-02-2024,13:15:00,159,0.6,0.51
07-02-2024,13:20:00,160,0.6,0.47
07-02-2024,13:21:00,160,0.6,0.47
07-02-2024,13:22:00,159,0.6,0.47
07-02-2024,13:26:00,162,0.6,0.48
07-02-2024,13:27:00,162,0,
07-02-2024,13:29:00,158,0,
07-02-2024,13:30:00,160,0.6,0.48
07-02-2024,13:32:00,235,0.6,0.49
